timestamp,event_type,x,y
1764176268.3679578,move,602,460
1764176268.3831415,move,603,460
1764176268.3884068,move,604,460
1764176268.393255,move,605,460
1764176268.398533,move,606,460
1764176268.4132972,move,607,460
1764176268.4285138,move,608,460
1764176268.445056,move,609,460
1764176268.46027,move,610,460
1764176268.6892323,click_pressed,610,460
1764176268.8644505,click_released,610,460
1764176268.9339333,click_pressed,610,460
1764176269.091254,click_released,610,460
1764176269.3867583,move,614,461
1764176269.3917315,move,617,464
1764176269.3968627,move,624,467
1764176269.4012547,move,628,472
1764176269.4109042,move,632,478
1764176269.4160397,move,639,485
1764176269.420934,move,645,490
1764176269.426082,move,651,499
1764176269.4311967,move,658,507
1764176269.4412274,move,665,514
1764176269.4460387,move,670,523
1764176269.451015,move,676,532
1764176269.456343,move,682,541
1764176269.4613466,move,686,552
1764176269.4713078,move,691,564
1764176269.4762092,move,697,577
1764176269.4813023,move,701,588
1764176269.4862583,move,704,600
1764176269.4913542,move,707,613
1764176269.4964972,move,711,625
1764176269.5064335,move,713,637
1764176269.5111024,move,714,646
1764176269.5163429,move,714,658
1764176269.5213008,move,716,666
1764176269.5264163,move,716,674
1764176269.531468,move,716,681
1764176269.5419962,move,717,685
1764176269.5465734,move,717,691
1764176269.552055,move,718,693
1764176269.55701,move,718,695
1764176269.5618076,move,718,696
1764176269.567161,move,718,697
1764176269.5767603,move,719,697
1764176269.8122692,move,721,710
1764176269.8174386,move,726,726
1764176269.8224862,move,729,742
1764176269.827465,move,738,761
1764176269.8325603,move,743,777
1764176269.8424854,move,746,791
1764176269.8475027,move,752,804
1764176269.852535,move,755,817
1764176269.857684,move,759,831
1764176269.862651,move,762,843
1764176269.8725886,move,767,856
1764176269.8772545,move,769,865
1764176269.8832653,move,771,877
1764176269.8883755,move,772,887
1764176269.8930833,move,775,894
1764176269.898442,move,777,904
1764176269.908426,move,778,915
1764176269.9130592,move,781,921
1764176269.9180896,move,782,930
1764176269.9232454,move,783,936
1764176269.9277558,move,783,943
1764176269.9387262,move,785,947
1764176269.9429486,move,786,956
1764176269.9477947,move,786,960
1764176269.9534535,move,786,966
1764176269.9584832,move,786,969
1764176269.968003,move,786,974
1764176269.9726024,move,786,978
1764176269.977838,move,786,981
1764176269.9830506,move,786,985
1764176269.987958,move,786,989
1764176269.9978607,move,786,991
1764176270.0026863,move,786,994
1764176270.0078225,move,786,997
1764176270.0129244,move,787,1000
1764176270.0178297,move,787,1000
1764176270.022723,move,787,1002
1764176270.0326924,move,788,1004
1764176270.0376618,move,788,1005
1764176270.0425832,move,789,1008
1764176270.0476575,move,789,1009
1764176270.0529368,move,789,1010
1764176270.0630312,move,789,1012
1764176270.0680633,move,789,1012
1764176270.0782883,move,789,1013
1764176270.0830913,move,789,1014
1764176270.097904,move,789,1016
1764176270.1133258,move,789,1017
1764176270.1232276,move,789,1018
1764176270.1378548,move,789,1018
1764176270.1428754,move,789,1019
1764176270.147844,move,789,1020
1764176270.152832,move,789,1021
1764176270.1629531,move,789,1022
1764176270.167816,move,789,1023
1764176270.178199,move,789,1025
1764176270.1833746,move,789,1025
1764176270.1883547,move,789,1026
1764176270.1985269,move,789,1027
1764176270.2135377,move,789,1028
1764176270.2233777,move,789,1029
1764176270.2385955,move,789,1030
1764176270.243792,move,790,1031
1764176270.2536473,move,790,1031
1764176270.2638996,move,792,1033
1764176270.2686436,move,792,1034
1764176270.2737176,move,792,1035
1764176270.2787554,move,792,1036
1764176270.2837532,move,792,1037
1764176270.2887936,move,792,1038
1764176270.2986407,move,793,1038
1764176270.3035526,move,793,1038
1764176270.3089619,move,794,1039
1764176270.3139668,move,794,1040
1764176270.3188107,move,794,1042
1764176270.3240578,move,794,1043
1764176270.3337538,move,794,1044
1764176270.3436754,move,794,1045
1764176270.353789,move,794,1045
1764176270.3739195,move,794,1046
1764176270.3843913,move,794,1047
1764176270.3992264,move,794,1048
1764176270.4394398,move,794,1048
1764176270.7053883,click_pressed,794,1048
1764176270.841081,click_released,794,1048
1764176271.6032474,move,792,1038
1764176271.6075895,move,787,1022
1764176271.6128364,move,780,998
1764176271.617785,move,775,978
1764176271.627738,move,769,955
1764176271.6327727,move,761,926
1764176271.6378236,move,756,902
1764176271.6431825,move,748,877
1764176271.6477745,move,740,849
1764176271.6579504,move,735,828
1764176271.6628702,move,730,810
1764176271.6678727,move,723,792
1764176271.6728709,move,716,775
1764176271.6780572,move,708,759
1764176271.687992,move,703,744
1764176271.6929266,move,697,731
1764176271.6978388,move,691,720
1764176271.7029479,move,686,708
1764176271.7081811,move,681,695
1764176271.7181075,move,676,683
1764176271.7228746,move,673,674
1764176271.7289715,move,670,663
1764176271.7334116,move,669,653
1764176271.73858,move,666,641
1764176271.7480059,move,661,630
1764176271.7534833,move,658,618
1764176271.7586007,move,655,605
1764176271.7635424,move,654,593
1764176271.7684796,move,651,582
1764176271.779868,move,646,572
1764176271.7833147,move,644,561
1764176271.789557,move,643,553
1764176271.793621,move,640,544
1764176271.7996595,move,640,536
1764176271.8081572,move,639,530
1764176271.8144472,move,637,521
1764176271.8195555,move,637,517
1764176271.8248239,move,637,511
1764176271.8295844,move,637,506
1764176271.8393695,move,638,502
1764176271.8434327,move,638,497
1764176271.8485134,move,639,495
1764176271.8537638,move,640,492
1764176271.8585536,move,641,488
1764176271.8685713,move,641,487
1764176271.8734689,move,643,486
1764176271.8782916,move,645,485
1764176271.883353,move,646,484
1764176271.8884923,move,647,484
1764176271.8982906,move,648,484
1764176271.903474,move,649,484
1764176271.9083164,move,650,484
1764176271.9134645,move,651,484
1764176272.2447834,move,644,479
1764176272.2498174,move,629,472
1764176272.2598114,move,612,464
1764176272.2647848,move,594,457
1764176272.2697663,move,575,451
1764176272.2748787,move,559,446
1764176272.2798645,move,539,441
1764176272.2848756,move,520,436
1764176272.2949,move,502,432
1764176272.2997453,move,486,431
1764176272.3047214,move,468,427
1764176272.309882,move,452,426
1764176272.3149042,move,438,424
1764176272.324779,move,422,423
1764176272.329921,move,409,420
1764176272.3349319,move,397,418
1764176272.3399951,move,385,418
1764176272.3450854,move,375,417
1764176272.3499959,move,365,417
1764176272.3599808,move,358,417
1764176272.3653305,move,350,417
1764176272.3703258,move,346,417
1764176272.3754187,move,338,417
1764176272.3854368,move,332,417
1764176272.3904297,move,323,417
1764176272.3955243,move,319,418
